,mgr_r
1963-05,-0.0006315501953998628
1963-06,-0.018888019208063742
1963-07,-0.026588107008542278
1963-08,0.04185963433354116
1963-09,-0.0217718037710719
1963-10,0.029139847034640128
1963-11,-0.019248100160302886
1963-12,0.03195767907608967
1964-01,-0.009441391704754384
1964-02,0.02242004553851148
1964-03,0.05539381369501953
1964-04,0.01355009063206742
1964-05,0.007515831581369089
1964-06,0.014097278053483226
1964-07,0.027649690535108202
1964-08,0.03227652506710402
1964-09,-0.012592733623572844
1964-10,0.00777892253944854
1964-11,-0.017104212672371118
1964-12,-0.03235067011755152
1965-01,0.050988377537122105
1965-02,0.0010730433140481582
1965-03,0.006640745232955546
1965-04,0.05106446917664861
1965-05,-0.010156173847379412
1965-06,-0.011695836255198697
1965-07,0.008771313474226309
1965-08,0.05951190698000816
1965-09,-0.015160821391061001
1965-10,0.0220859907360074
1965-11,-0.01757034409933352
1965-12,-0.01696558266284347
1966-01,0.013860237202492489
1966-02,-0.026709383138728563
1966-03,-0.026148842332773547
1966-04,0.003332977109253383
1966-05,-0.05082389325953874
1966-06,0.0005546116053077232
1966-07,-0.02020064892101245
1966-08,-0.04270213608170621
1966-09,-0.018499816383383223
1966-10,0.0501947705948226
1966-11,-0.008354423597954424
1966-12,-0.0012897368137466093
1967-01,0.11904972576274235
1967-02,-0.002712037073216529
1967-03,0.06036313530494458
1967-04,0.03905487105561108
1967-05,-0.06673909039124037
1967-06,0.05567238605578168
1967-07,0.044148964264557417
1967-08,-0.030336818062398338
1967-09,-0.018721136457196592
1967-10,0.004761115415404025
1967-11,-0.00420474861575432
1967-12,0.0507077154874757
1968-01,-0.008835515294614429
1968-02,0.0006507634280854507
1968-03,-0.016241396882779723
1968-04,0.04369784187891561
1968-05,0.01731811441709097
1968-06,0.004621815006896457
1968-07,-0.0034110233839151896
1968-08,0.010536296810082918
1968-09,0.05196143604811145
1968-10,-0.011010293442741513
1968-11,0.035797218955440344
1968-12,0.054211656164825886
1969-01,0.029339676402590227
1969-02,-0.05305971024058921
1969-03,-0.0014084486231492749
1969-04,0.012038853947640722
1969-05,0.016806341626272595
1969-06,-0.058338982113503676
1969-07,-0.02277577012617071
1969-08,0.03252353691029418
1969-09,0.007859263739009099
1969-10,0.10306330402970935
1969-11,-0.002182117120107372
1969-12,-0.010908819259775212
1970-01,-0.033267799134458625
1970-02,0.024255297270401127
1970-03,-0.003546057420657089
1970-04,-0.03840964665012453
1970-05,0.006018289919279895
1970-06,0.021812264989117806
1970-07,0.056237312492283156
1970-08,-6.37945535521215e-05
1970-09,0.00682223906308378
1970-10,0.0531508591975252
1970-11,0.051507449753402074
1970-12,0.013915057520279495
1971-01,0.04072939184168838
1971-02,0.03225313141455285
1971-03,0.03940638028041714
1971-04,0.024737989045022148
1971-05,-0.05154501656061905
1971-06,0.00925151337799257
1971-07,-0.00851307312156092
1971-08,0.012622076397945787
1971-09,-0.02067305040067935
1971-10,-0.04062095085264359
1971-11,0.007006798696899486
1971-12,0.08242745747222047
1972-01,0.03923101114792339
1972-02,0.06553654235233528
1972-03,0.014364477336729322
1972-04,0.051495827749343887
1972-05,0.02434998598176997
1972-06,0.010144646183159162
1972-07,-0.03433715738516696
1972-08,-0.002319304556837507
1972-09,-0.03415959872990605
1972-10,-0.0073292951527287546
1972-11,0.051868820073189305
1972-12,-0.023018465305333198
1973-01,-0.012355485538421477
1973-02,-0.00938394093664077
1973-03,0.004265969419450454
1973-04,-0.06745892340442347
1973-05,-0.008253260042406885
1973-06,0.02188999757905795
1973-07,0.045676818304492606
1973-08,-0.06576110372630872
1973-09,0.013648347748076821
1973-10,0.011563759687157216
1973-11,-0.09380718463669552
1973-12,0.011340111868539317
1974-01,0.008812126254710234
1974-02,0.013660353334644562
1974-03,-0.0437849729685388
1974-04,-0.046191085492037265
1974-05,0.0026867198784655093
1974-06,-0.01508192495144633
1974-07,-0.06827203940366938
1974-08,-0.06851521731039559
1974-09,-0.10965008530952695
1974-10,0.14756543467485023
1974-11,0.005997502363800273
1974-12,-0.02823194149091446
1975-01,0.11121386502230408
1975-02,0.020954850413407788
1975-03,0.051462472307827106
1975-04,0.019512927669607896
1975-05,0.017309383047930636
1975-06,0.0369841825020324
1975-07,-0.04941453576485762
1975-08,-0.037696407466257506
1975-09,-0.0025106201614593015
1975-10,0.024269824532686904
1975-11,0.02860432020948247
1975-12,-0.005538197739542583
1976-01,0.07380181221915315
1976-02,-0.008100452033211724
1976-03,0.01257319498576746
1976-04,-0.029771038626595615
1976-05,-0.024180510179310125
1976-06,0.008679072695156316
1976-07,0.0024451377164772595
1976-08,0.02608512928820045
1976-09,0.03138722437921525
1976-10,-0.017746348264847403
1976-11,-0.014726858107481502
1976-12,0.049631669971141296
1977-01,-0.06662868451397373
1977-02,-0.0037270555396481594
1977-03,-0.03207943394581788
1977-04,0.014572008213213535
1977-05,0.0011460761559685816
1977-06,0.016890858562381903
1977-07,-0.0015980613287121374
1977-08,0.021294512326427654
1977-09,-0.011800441024490653
1977-10,-0.022490360461120754
1977-11,0.023641826903298614
