PERMNO,date,TICKER,RET,sprtrn
10107,2012-07-11,MSFT,-0.014795,-0.000015
10107,2012-07-12,MSFT,-0.022867,-0.004987
10107,2012-07-13,MSFT,0.026546,0.016497
10107,2012-07-16,MSFT,0.001701,-0.002314
10107,2012-07-17,MSFT,0.007473,0.007410
10107,2012-07-18,MSFT,0.026635,0.006681
10107,2012-07-19,MSFT,0.007061,0.002717
10107,2012-07-20,MSFT,-0.017936,-0.010062
10107,2012-07-23,MSFT,-0.027727,-0.008909
10107,2012-07-24,MSFT,-0.004440,-0.009041
10107,2012-07-25,MSFT,-0.010978,-0.000314
10107,2012-07-26,MSFT,0.011446,0.016541
10107,2012-07-27,MSFT,0.020405,0.019081
10107,2012-07-30,MSFT,-0.003865,-0.000483
10107,2012-07-31,MSFT,-0.005735,-0.004317
10107,2012-08-01,MSFT,-0.002036,-0.003030
10107,2012-08-02,MSFT,-0.007480,-0.007374
10107,2012-08-03,MSFT,0.019185,0.019040
10107,2012-08-06,MSFT,0.006723,0.002329
10107,2012-08-07,MSFT,0.010351,0.005107
10107,2012-08-08,MSFT,0.002313,0.000621
10107,2012-08-09,MSFT,0.005605,0.000414
10107,2012-08-10,MSFT,-0.002623,0.002188
10107,2012-08-13,MSFT,-0.000986,-0.001252
10107,2012-08-14,MSFT,-0.001974,-0.000128
10107,2012-08-15,MSFT,0.002323,0.001140
10107,2012-08-16,MSFT,0.019205,0.007101
10107,2012-08-17,MSFT,0.003899,0.001872
10107,2012-08-20,MSFT,-0.005178,-0.000021
10107,2012-08-21,MSFT,0.001952,-0.003498
10107,2012-08-22,MSFT,-0.008442,0.000226
10107,2012-08-23,MSFT,-0.009332,-0.008072
10107,2012-08-24,MSFT,0.010081,0.006455
10107,2012-08-27,MSFT,0.004254,-0.000489
10107,2012-08-28,MSFT,-0.001955,-0.000808
10107,2012-08-29,MSFT,0.000653,0.000844
10107,2012-08-30,MSFT,-0.010767,-0.007806
10107,2012-08-31,MSFT,0.016491,0.005073
10107,2012-09-04,MSFT,-0.014114,-0.001166
10107,2012-09-05,MSFT,0.000165,-0.001068
10107,2012-09-06,MSFT,0.031425,0.020436
10107,2012-09-07,MSFT,-0.012602,0.004050
10107,2012-09-10,MSFT,-0.007431,-0.006148
10107,2012-09-11,MSFT,0.002279,0.003135
10107,2012-09-12,MSFT,-0.000325,0.002093
10107,2012-09-13,MSFT,0.005036,0.016310
10107,2012-09-14,MSFT,0.008890,0.003959
10107,2012-09-17,MSFT,0.000000,-0.003125
10107,2012-09-18,MSFT,-0.001121,-0.001280
10107,2012-09-19,MSFT,-0.003945,0.001185
10107,2012-09-20,MSFT,0.012817,-0.000541
10107,2012-09-21,MSFT,-0.008267,-0.000075
10107,2012-09-24,MSFT,-0.013145,-0.002233
10107,2012-09-25,MSFT,-0.012671,-0.010502
10107,2012-09-26,MSFT,-0.007404,-0.005737
10107,2012-09-27,MSFT,-0.000166,0.009649
10107,2012-09-28,MSFT,-0.013263,-0.004478
10107,2012-10-01,MSFT,-0.009073,0.002652
10107,2012-10-02,MSFT,0.005765,0.000872
10107,2012-10-03,MSFT,0.006743,0.003624
10107,2012-10-04,MSFT,0.005693,0.007174
10107,2012-10-05,MSFT,-0.005994,-0.000322
10107,2012-10-08,MSFT,-0.002345,-0.003457
10107,2012-10-09,MSFT,-0.016790,-0.009891
10107,2012-10-10,MSFT,-0.010246,-0.006188
10107,2012-10-11,MSFT,-0.001035,0.000195
10107,2012-10-12,MSFT,0.008636,-0.002966
10107,2012-10-15,MSFT,0.010616,0.008078
10107,2012-10-16,MSFT,-0.000678,0.010270
10107,2012-10-17,MSFT,0.003391,0.004117
10107,2012-10-18,MSFT,-0.003211,-0.002444
10107,2012-10-19,MSFT,-0.028988,-0.016571
10107,2012-10-22,MSFT,-0.022346,0.000440
10107,2012-10-23,MSFT,0.001679,-0.014444
10107,2012-10-24,MSFT,-0.005174,-0.003085
10107,2012-10-25,MSFT,-0.000785,0.002996
10107,2012-10-26,MSFT,0.011836,-0.000729
10107,2012-10-31,MSFT,0.011698,0.000156
10107,2012-11-01,MSFT,0.034163,0.010927
10107,2012-11-02,MSFT,-0.000515,-0.009379
10107,2012-11-05,MSFT,0.004414,0.002164
10107,2012-11-06,MSFT,0.007762,0.007853
10107,2012-11-07,MSFT,-0.026122,-0.023705
10107,2012-11-08,MSFT,-0.009285,-0.012205
10107,2012-11-09,MSFT,0.000694,0.001699
10107,2012-11-12,MSFT,-0.021159,0.000130
10107,2012-11-13,MSFT,-0.031910,-0.003985
10107,2012-11-14,MSFT,-0.009210,-0.013852
10107,2012-11-15,MSFT,-0.006680,-0.001594
10107,2012-11-16,MSFT,-0.005244,0.004840
10107,2012-11-19,MSFT,0.007798,0.019862
10107,2012-11-20,MSFT,-0.000662,0.000663
10107,2012-11-21,MSFT,0.008985,0.002320
10107,2012-11-23,MSFT,0.027829,0.013026
10107,2012-11-26,MSFT,-0.011372,-0.002030
10107,2012-11-27,MSFT,-0.011137,-0.005227
10107,2012-11-28,MSFT,0.010340,0.007856
10107,2012-11-29,MSFT,-0.014985,0.004270
10107,2012-11-30,MSFT,-0.012430,0.000162
10107,2012-12-03,MSFT,-0.006974,-0.004745
10107,2012-12-04,MSFT,-0.002247,-0.001710
10107,2012-12-05,MSFT,0.011377,0.001585
10107,2012-12-06,MSFT,0.002062,0.003307
10107,2012-12-07,MSFT,-0.010103,0.002921
10107,2012-12-10,MSFT,0.018333,0.000338
10107,2012-12-11,MSFT,0.014105,0.006549
10107,2012-12-12,MSFT,-0.002928,0.000448
10107,2012-12-13,MSFT,-0.004772,-0.006321
10107,2012-12-14,MSFT,-0.011066,-0.004135
10107,2012-12-17,MSFT,0.010630,0.011871
10107,2012-12-18,MSFT,0.017162,0.011487
10107,2012-12-19,MSFT,-0.009071,-0.007589
10107,2012-12-20,MSFT,0.013548,0.005488
10107,2012-12-21,MSFT,-0.008309,-0.009379
10107,2012-12-24,MSFT,-0.014208,-0.002440
10107,2012-12-26,MSFT,-0.007391,-0.004787
10107,2012-12-27,MSFT,0.003723,-0.001218
10107,2012-12-28,MSFT,-0.015208,-0.011050
10107,2012-12-31,MSFT,0.006015,0.016942
10107,2013-01-02,MSFT,0.034081,0.025403
10107,2013-01-03,MSFT,-0.013396,-0.002086
10107,2013-01-04,MSFT,-0.018716,0.004865
10107,2013-01-07,MSFT,-0.001870,-0.003123
10107,2013-01-08,MSFT,-0.005245,-0.003242
10107,2013-01-09,MSFT,0.005650,0.002656
10107,2013-01-10,MSFT,-0.008989,0.007597
10107,2013-01-11,MSFT,0.013983,-0.000048
10107,2013-01-14,MSFT,0.002236,-0.000931
10107,2013-01-15,MSFT,0.011900,0.001129
10107,2013-01-16,MSFT,-0.006248,0.000197
10107,2013-01-17,MSFT,0.007766,0.005643
10107,2013-01-18,MSFT,0.000000,0.003403
10107,2013-01-22,MSFT,-0.003670,0.004428
10107,2013-01-23,MSFT,0.016943,0.001507
10107,2013-01-24,MSFT,0.000724,0.000007
10107,2013-01-25,MSFT,0.009048,0.005445
10107,2013-01-28,MSFT,0.001112,-0.001850
10107,2013-01-29,MSFT,0.003547,0.005106
10107,2013-01-30,MSFT,-0.005712,-0.003900
10107,2013-01-31,MSFT,-0.014363,-0.002563
10107,2013-02-01,MSFT,0.017486,0.010053
